samples,mini_batches,train_loss,lr
10303,652,0.0756,0.001
10319,653,0.0707,0.001
10335,654,0.0441,0.001
10351,655,0.2123,0.001
10367,656,0.0709,0.001
10383,657,0.1118,0.001
10399,658,0.0956,0.001
10415,659,0.0504,0.001
10428,660,0.0784,0.001
10444,661,0.069,0.001
10460,662,0.0239,0.001
10476,663,0.1514,0.001
10492,664,0.0366,0.001
10508,665,0.0449,0.001
10524,666,0.0919,0.001
10540,667,0.083,0.001
10556,668,0.0494,0.001
10572,669,0.0726,0.001
10588,670,0.0825,0.001
10604,671,0.0845,0.001
10620,672,0.0708,0.001
10636,673,0.0723,0.001
10652,674,0.0875,0.001
10665,675,0.0529,0.001
10681,676,0.0558,0.001
10697,677,0.0261,0.001
10713,678,0.1128,0.001
10729,679,0.0503,0.001
10745,680,0.119,0.001
10761,681,0.0333,0.001
10777,682,0.0379,0.001
10793,683,0.0785,0.001
10809,684,0.0777,0.001
10825,685,0.0459,0.001
10841,686,0.0782,0.001
10857,687,0.035,0.001
10873,688,0.0689,0.001
10889,689,0.0499,0.001
10902,690,0.0893,0.001
10918,691,0.0341,0.001
10934,692,0.0444,0.001
10950,693,0.1386,0.001
10966,694,0.0261,0.001
10982,695,0.0275,0.001
10998,696,0.0327,0.001
11014,697,0.0382,0.001
11030,698,0.1085,0.001
11046,699,0.0835,0.001
11062,700,0.0381,0.001
11078,701,0.0593,0.001
11094,702,0.1149,0.001
11110,703,0.0222,0.001
11126,704,0.0492,0.001
11139,705,0.0884,0.001
11155,706,0.0195,0.001
11171,707,0.0273,0.001
11187,708,0.037,0.001
11203,709,0.0374,0.001
11219,710,0.0724,0.001
11235,711,0.0297,0.001
11251,712,0.0562,0.001
11267,713,0.0777,0.001
11283,714,0.1317,0.001
11299,715,0.0502,0.001
11315,716,0.035,0.001
11331,717,0.0633,0.001
11347,718,0.0442,0.001
11363,719,0.0867,0.001
11376,720,0.0278,0.001
11392,721,0.0587,0.001
11408,722,0.0347,0.001
11424,723,0.0441,0.001
11440,724,0.0189,0.001
11456,725,0.0403,0.001
11472,726,0.0327,0.001
