samples,mini_batches,train_loss,lr
6037,382,1.2207,0.001
6053,383,1.6058,0.001
6069,384,1.4285,0.001
6085,385,1.5303,0.001
6101,386,1.2517,0.001
6117,387,1.482,0.001
6133,388,1.5387,0.001
6149,389,1.4613,0.001
6162,390,1.1608,0.001
6178,391,1.3594,0.001
6194,392,1.282,0.001
6210,393,1.5272,0.001
6226,394,1.2495,0.001
6242,395,1.544,0.001
6258,396,1.2761,0.001
6274,397,1.2019,0.001
6290,398,1.5824,0.001
6306,399,1.3387,0.001
6322,400,1.1706,0.001
6338,401,1.4311,0.001
6354,402,1.4978,0.001
6370,403,1.3958,0.001
6386,404,1.5615,0.001
6399,405,1.3444,0.001
6415,406,1.4989,0.001
6431,407,1.4099,0.001
6447,408,1.409,0.001
6463,409,1.3424,0.001
6479,410,1.7724,0.001
6495,411,1.2469,0.001
6511,412,1.2837,0.001
6527,413,1.2643,0.001
6543,414,1.2743,0.001
6559,415,1.3532,0.001
6575,416,1.1418,0.001
6591,417,1.0682,0.001
6607,418,1.6664,0.001
6623,419,1.4623,0.001
6636,420,1.501,0.001
6652,421,1.4671,0.001
6668,422,1.3936,0.001
6684,423,1.1916,0.001
6700,424,1.6253,0.001
6716,425,1.6215,0.001
6732,426,1.2947,0.001
6748,427,1.3196,0.001
6764,428,1.4119,0.001
6780,429,1.2409,0.001
6796,430,1.4134,0.001
6812,431,1.4191,0.001
6828,432,1.5215,0.001
6844,433,1.3957,0.001
6860,434,1.0864,0.001
6873,435,1.122,0.001
6889,436,1.2966,0.001
6905,437,1.3128,0.001
6921,438,1.2876,0.001
6937,439,1.6731,0.001
6953,440,1.3563,0.001
6969,441,1.3197,0.001
6985,442,1.3077,0.001
7001,443,1.2898,0.001
7017,444,1.2592,0.001
7033,445,1.4199,0.001
7049,446,1.2928,0.001
7065,447,1.4389,0.001
7081,448,1.3817,0.001
7097,449,1.5097,0.001
7110,450,1.3159,0.001
7126,451,1.6104,0.001
7142,452,1.4247,0.001
7158,453,1.5594,0.001
7174,454,1.2106,0.001
7190,455,1.3199,0.001
7206,456,1.2963,0.001
7222,457,1.1926,0.001
7238,458,1.2813,0.001
