samples,mini_batches,train_loss,lr
13010,815,0.0819,0.001
13026,816,0.1869,0.001
13042,817,0.2777,0.001
13058,818,0.2383,0.001
13074,819,0.1783,0.001
13090,820,0.1612,0.001
13106,821,0.138,0.001
13122,822,0.0785,0.001
13138,823,0.0624,0.001
13154,824,0.3328,0.001
13170,825,0.1766,0.001
13186,826,0.1245,0.001
13202,827,0.1477,0.001
13218,828,0.2431,0.001
13234,829,0.3639,0.001
13250,830,0.0595,0.001
13266,831,0.0624,0.001
13282,832,0.1203,0.001
13298,833,0.3101,0.001
13314,834,0.2795,0.001
13330,835,0.1271,0.001
13346,836,0.204,0.001
13362,837,0.2161,0.001
13378,838,0.1247,0.001
13394,839,0.0628,0.001
13410,840,0.1005,0.001
13426,841,0.0444,0.001
13442,842,0.3639,0.001
13458,843,0.4163,0.001
13474,844,0.0853,0.001
13490,845,0.1533,0.001
13506,846,0.0663,0.001
13522,847,0.3161,0.001
13538,848,0.1318,0.001
13554,849,0.0806,0.001
13570,850,0.267,0.001
13586,851,0.0608,0.001
13602,852,0.0401,0.001
13618,853,0.2273,0.001
13634,854,0.3055,0.001
13650,855,0.2544,0.001
13666,856,0.0581,0.001
13682,857,0.1482,0.001
13698,858,0.0585,0.001
13714,859,0.3823,0.001
13730,860,0.2671,0.001
13746,861,0.124,0.001
13762,862,0.2342,0.001
13778,863,0.3307,0.001
13794,864,0.4566,0.001
13810,865,0.0925,0.001
13826,866,0.0955,0.001
13842,867,0.1919,0.001
13858,868,0.1858,0.001
13874,869,0.0662,0.001
13890,870,0.0712,0.001
13906,871,0.2219,0.001
13922,872,0.4163,0.001
13938,873,0.4006,0.001
13954,874,0.078,0.001
13970,875,0.0642,0.001
13986,876,0.527,0.001
14002,877,0.2565,0.001
14018,878,0.0858,0.001
14034,879,0.0945,0.001
14050,880,0.0989,0.001
14066,881,0.097,0.001
14082,882,0.0503,0.001
14098,883,0.0869,0.001
14114,884,0.1355,0.001
14130,885,0.0848,0.001
14146,886,0.3104,0.001
14162,887,0.1135,0.001
14178,888,0.0303,0.001
14194,889,0.3698,0.001
14210,890,0.0311,0.001
14226,891,0.4519,0.001
14242,892,0.0792,0.001
14258,893,0.8424,0.001
14274,894,0.2224,0.001
14290,895,0.1226,0.001
14306,896,0.0499,0.001
14322,897,0.2639,0.001
14338,898,0.1525,0.001
14354,899,0.3154,0.001
14370,900,0.1141,0.001
14386,901,0.0528,0.001
14402,902,0.1368,0.001
14418,903,0.0741,0.001
14434,904,0.2778,0.001
14450,905,0.0521,0.001
14466,906,0.0888,0.001
14482,907,0.2969,0.001
14498,908,0.1116,0.001
14514,909,0.4487,0.001
14530,910,0.1396,0.001
14546,911,0.3834,0.001
14562,912,0.0746,0.001
14578,913,0.0747,0.001
14594,914,0.1599,0.001
14610,915,0.2102,0.001
14626,916,0.1717,0.001
14642,917,0.0457,0.001
14658,918,0.0746,0.001
14674,919,0.1202,0.001
14690,920,0.2873,0.001
14706,921,0.0696,0.001
14722,922,0.1912,0.001
14738,923,0.0735,0.001
14754,924,0.2356,0.001
14770,925,0.03,0.001
14786,926,0.1733,0.001
14802,927,0.1578,0.001
14818,928,0.0653,0.001
14834,929,0.273,0.001
14850,930,0.0936,0.001
14866,931,0.2561,0.001
14882,932,0.0777,0.001
14898,933,0.3179,0.001
14914,934,0.3307,0.001
14930,935,0.3133,0.001
14946,936,0.1672,0.001
14962,937,0.4774,0.001
14978,938,0.0705,0.001
14994,939,0.0762,0.001
15010,940,0.1929,0.001
15026,941,0.0676,0.001
15042,942,0.0437,0.001
15058,943,0.2171,0.001
15074,944,0.0745,0.001
15090,945,0.3371,0.001
15106,946,0.0923,0.001
15122,947,0.2514,0.001
15138,948,0.0814,0.001
15154,949,0.0892,0.001
15170,950,0.0626,0.001
15186,951,0.183,0.001
15202,952,0.1184,0.001
15218,953,0.4142,0.001
15234,954,0.3027,0.001
15250,955,0.0842,0.001
15266,956,0.08,0.001
15282,957,0.4373,0.001
15298,958,0.0758,0.001
15314,959,0.403,0.001
15330,960,0.1636,0.001
15346,961,0.0751,0.001
15362,962,0.0257,0.001
15378,963,0.1224,0.001
15394,964,0.2766,0.001
15410,965,0.1349,0.001
15426,966,0.1178,0.001
15442,967,0.2857,0.001
15458,968,0.0469,0.001
15474,969,0.2041,0.001
15490,970,0.1963,0.001
15506,971,0.0532,0.001
15522,972,0.2189,0.001
15538,973,0.2833,0.001
15554,974,0.1124,0.001
15570,975,0.1844,0.001
15586,976,0.118,0.001
15602,977,0.0454,0.001
15618,978,0.259,0.001
15634,979,0.2023,0.001
15650,980,0.1211,0.001
15666,981,0.4334,0.001
15682,982,0.1005,0.001
15698,983,0.1073,0.001
15714,984,0.1371,0.001
15730,985,0.227,0.001
15746,986,0.2655,0.001
15762,987,0.3155,0.001
15778,988,0.339,0.001
15794,989,0.0683,0.001
15810,990,0.1479,0.001
15826,991,0.0442,0.001
15842,992,0.2124,0.001
15858,993,0.1625,0.001
15874,994,0.1419,0.001
15890,995,0.2902,0.001
15906,996,0.0831,0.001
15922,997,0.0704,0.001
15938,998,0.5854,0.001
15954,999,0.3982,0.001
15970,1000,0.1076,0.001
15986,1001,0.2151,0.001
16002,1002,0.0554,0.001
16018,1003,0.1828,0.001
16034,1004,0.1876,0.001
16050,1005,0.5341,0.001
16066,1006,0.1242,0.001
