samples,mini_batches,train_loss,lr
6301,403,1.5977,0.001
6317,404,1.6036,0.001
6333,405,1.5624,0.001
6349,406,1.5687,0.001
6365,407,1.6102,0.001
6381,408,1.529,0.001
6397,409,1.6013,0.001
6413,410,1.5626,0.001
6429,411,1.5559,0.001
6445,412,1.5787,0.001
6461,413,1.5802,0.001
6477,414,1.5468,0.001
6493,415,1.5643,0.001
6509,416,1.5459,0.001
6525,417,1.5692,0.001
6534,418,1.6042,0.001
6550,419,1.5704,0.001
6566,420,1.5597,0.001
6582,421,1.57,0.001
6598,422,1.5739,0.001
6614,423,1.5656,0.001
6630,424,1.5568,0.001
6646,425,1.5794,0.001
6662,426,1.5508,0.001
6678,427,1.5811,0.001
6694,428,1.5406,0.001
6710,429,1.5759,0.001
6726,430,1.5884,0.001
6742,431,1.5671,0.001
6758,432,1.5834,0.001
6774,433,1.5655,0.001
6790,434,1.5815,0.001
6806,435,1.5718,0.001
6822,436,1.5446,0.001
6831,437,1.6001,0.001
6847,438,1.5779,0.001
6863,439,1.5617,0.001
6879,440,1.5538,0.001
6895,441,1.5729,0.001
6911,442,1.6035,0.001
6927,443,1.5287,0.001
6943,444,1.5372,0.001
6959,445,1.5763,0.001
6975,446,1.6149,0.001
6991,447,1.5674,0.001
7007,448,1.5465,0.001
7023,449,1.588,0.001
7039,450,1.5805,0.001
7055,451,1.5569,0.001
7071,452,1.5664,0.001
7087,453,1.5813,0.001
7103,454,1.5256,0.001
7119,455,1.5349,0.001
7128,456,1.5786,0.001
7144,457,1.5837,0.001
7160,458,1.5628,0.001
7176,459,1.5357,0.001
7192,460,1.573,0.001
7208,461,1.5476,0.001
7224,462,1.5677,0.001
7240,463,1.5372,0.001
7256,464,1.5857,0.001
7272,465,1.6122,0.001
7288,466,1.5846,0.001
7304,467,1.5886,0.001
7320,468,1.5497,0.001
7336,469,1.552,0.001
7352,470,1.5416,0.001
7368,471,1.5433,0.001
7384,472,1.5618,0.001
7400,473,1.5415,0.001
